decsCode	termSpanish	termEnglish	meshCode	synonyms	treeNumber	definitionSpanish	definitionLatin
21034	seres humanos	Humans	D006801	Hombre (Taxonomia)|Homo sapiens|Humano|Humanos|Ser Humano|Seres Humanos|hombre (taxonomía)|humano|humanos|ser humano	B01.050.150.900.649.313.988.400.112.400.400	Miembros de la especie Homo sapiens.	Miembros de la especie Homo sapiens.
21044	masculino	Male	D008297	Macho|Masculina|Masculino	-	-	-
21030	femenino	Female	D005260	Femenina|Femenino|Hembra	-	-	-
22261	embarazo	Pregnancy	D011247	Embarazo|Gestación|gestación	G08.686.784.769	Estado durante el cual los mamíferos hembra portan el ser en desarrollo (EMBRIONES O FETOS) en el útero antes del nacimiento, que comienza en la FECUNDACIÓN y termina en el NACIMIENTO.	Estado durante el que los mamíferos hembras llevan a sus crías en desarrollo (EMBRIÓN o FETO) en el útero, antes de nacer, desde la FERTILIZACIÓN hasta el NACIMIENTO.
22226	recién nacido	Infant, Newborn	D007231	Lactante Recién Nacido|Lactantes Recién Nacidos|Neonato|Neonatos|Niño Recién Nacido|Niños Recién Nacidos|Recién Nacido|Recién Nacidos|lactante recién nacido|lactantes recién nacidos|neonato|neonatos|niño recién nacido|niños recién nacidos	M01.060.703.520	Lactante durante los primeros 28 días después del nacimiento.	Lactante durante los primeros 28 dias después del nacimiento.
7399	lactante	Infant	D007223	Lactante|Lactantes|lactantes	M01.060.703	Niño con edad comprendida entre 1 y 23 meses.	Niño entre 1 y 23 meses de edad.
2715	niño preescolar	Child, Preschool	D002675	Infante|Infantes|Niño Preescolar|Niños Preescolares|Preescolar|Preescolares|preescolar	M01.060.406.448	Niño con edad comprendida entre 2 y 5 años.	Niño entre los 2 y los 5 años de edad.
2694	niño	Child	D002648	Niño|Niños|niños	M01.060.406	Persona con edad comprendida entre 6 y 12 años. Si la edad está comprendida entre 2 y 5 años se denomina NIÑO PREESCOLAR.	Persona entre 6 y 12 años de edad. Un individuo de 2 a 5 años es un PREESCOLAR.
29315	adolescente	Adolescent	D000293	Adolescencia|Adolescente|Adolescentes|Joven|Juventud|Jóvenes|adolescencia|jóvenes	M01.060.057	Persona con una edad entre 13 y 18 años.	Persona de 13 a 18 años de edad.
53386	adulto joven	Young Adult	D055815	Adulto Joven|Adultos Jóvenes|Joven Adulto	M01.060.116.815	Persona con edad comprendida entre 19 y 24 años.	Una persona entre 19 y 24 años de edad.
331	adulto	Adult	D000328	Adulto|Adultos|adultos	M01.060.116	Persona que ha alcanzado un crecimiento o madurez total. Se considera adulta a una persona cuya edad se encuentre entre 19 y 44 años. El término ADULTO JOVEN se aplica a las personas con edades comprendidas entre 19 y 24 años.	Persona que ha alcanzado total crecimiento o madurez. Los adultos van desde los 19 hasta los 44 años de edad. Para una persona entre 19 y 24 años de edad, ADULTO JOVEN está disponible.
9062	persona de mediana edad	Middle Aged	D008875	Adulto de Mediana Edad|Adultos de Mediana Edad|Mediana Edad|Persona de Mediana Edad|Personas de Mediana Edad|adulto de mediana edad|adultos de mediana edad|mediana edad|personas de mediana edad	M01.060.116.630	Adulto de entre 45 y 64 años de edad.	Adulto de 45 a 64 años.
20174	anciano	Aged	D000368	Adulto Mayor|Anciano|Ancianos|Persona Mayor|Persona de Edad|Personas Mayores|Personas de Edad|personas añosas|personas mayores	M01.060.116.100	Persona con una edad comprendida entre 65 y 79 años. Las personas con edades superiores a 79 años se consideran ANCIANOS DE 80 O MÁS AÑOS .	Persona entre los 65 y 79 años de edad. Para una persona mayor de 79 años, puede consultar ANCIANO DE 80 O MÁS AÑOS .
19059	ancianos de 80 o más años	Aged, 80 and over	D000369	Anciano de 80 Años o más|Anciano de 80 o más Años|Ancianos de 80 Años o más|Ancianos de 80 Años y más|Ancianos de 80 o más Años|Centenarios|Nonagenarios|Octogenarios|Viejísimos|anciano de 80 años o más|anciano de 80 o más años|ancianos de 80 años o más|ancianos de 80 años y más|centenarios|nonagenarios|octagenarios|personas muy ancianas	M01.060.116.100.080	Personas de 80 años en adelante.	Una persona de 80 años o más vieja.
841	animales	Animals	D000818	Animal|Animales|Animalia|Metazoa|Metazoario|Metazoarios|animal	B01.050	Organismos heterotróficos unicelulares o multicelulares, que tienen sensación y el poder de movimiento voluntario. Bajo el viejo paradigma de los cinco reinos, Animalia era uno de ellos. Bajo el modelo moderno de tres dominios, Animalia representa uno de los muchos grupos del dominio EUCARIOTA.	Organismos heterotróficos unicelulares o multicelulares que poseen sensasión y el poder de movimiento voluntario. Bajo el viejo paradigma de cinco reinos, Animalia era uno de los reinos. Bajo el modelo moderno de tres dominios, Animalia representa uno de los muchos grupos en el dominio EUCARIOTAS.
